date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:19	90291/90291	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2004:48:54%20GMT	https://www.kiloo.com/subway-surfers/	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.kiloo.com/subway-surfers/index.html	(from )
16:58:19	82/82	---MCZ	200	added ('OK')	text/plain	date:Mon,%2010%20Oct%202022%2015:52:27%20GMT	https://www.kiloo.com/robots.txt		(from )
16:58:19	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.google-analytics.com/analytics.js	(from https://www.kiloo.com/subway-surfers/)
16:58:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2011%20Oct%202022%2021:58:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.googletagmanager.com/gtm.15445.delayed	(from https://www.kiloo.com/subway-surfers/)
16:58:21	155/155	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Oct%202022%2021:58:20%20GMT	http://www.kiloo.com/bg_bright2.f6a095abb680f9ba.png	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.kiloo.com/bg_bright2.f6a095abb680f9ba.2.delayed	(from https://www.kiloo.com/subway-surfers/)
16:58:21	2649/2649	---MC-	200	added ('OK')	image/png	date:Mon,%2010%20Oct%202022%2022:36:57%20GMT	https://www.kiloo.com/bg_bright2.f6a095abb680f9ba.png	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.kiloo.com/bg_bright2.f6a095abb680f9ba.png	(from https://www.kiloo.com/subway-surfers/)
16:58:21	155/155	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Oct%202022%2021:58:21%20GMT	http://www.kiloo.com/styles.ecf54e78667cd6b7.css	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.kiloo.com/styles.ecf54e78667cd6b7.css	(from https://www.kiloo.com/subway-surfers/)
16:58:22	155/155	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Oct%202022%2021:58:22%20GMT	http://www.kiloo.com/ad.8bb5c5df65f73e9c.png	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.kiloo.com/ad.8bb5c5df65f73e9c.png	(from https://www.kiloo.com/subway-surfers/)
16:58:22	149588/149588	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Oct%202022%2020:11:07%20GMT	https://www.kiloo.com/styles.ecf54e78667cd6b7.css	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.kiloo.com/styles.ecf54e78667cd6b7.css	(from https://www.kiloo.com/subway-surfers/)
16:58:23	155/155	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Oct%202022%2021:58:23%20GMT	http://www.kiloo.com/assets/img/logo_header.png	C:/Users/lenovo/Desktop/HTTTRACK/awd/www.kiloo.com/assets/img/logo_header.png	(from https://www.kiloo.com/subway-surfers/)
